geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
2144764,Wangaratta,Wangaratta,"Uangaratta,Vangaratta,WGT,Wangaratta,??????????,??????????,?????????,?????????",-36.35846,146.32056,P,PPL,AU,,7,26700,,,16845,,151,Australia/Melbourne,29/07/2013
2145110,Wagga Wagga,Wagga Wagga,"Uaga Uaga,Uogga Uogga,Uogga-Uogga,Vaga Vaga,Vagga-Vagga,Voga Voga,WGA,Wagga,Wagga Wagga,uaga-uaga,u~ogau~oga,waga waga,wagawaga,wo jia wo jia,?????-?????,???? ????,???? ????,????? ?????,?????-?????,???? ????,????-????,??????,????,????",-35.12577,147.35374,P,PPL,AU,,2,17750,,,46913,,201,Australia/Sydney,10/12/2013
2146108,Traralgon,Traralgon,"TGN,Traralgon,?????????",-38.19528,146.5415,P,PPL,AU,,7,23810,,,21960,,46,Australia/Melbourne,29/07/2013
2146142,Townsville,Townsville,"TSV,Taunsvil,Taunsvil',Taunsvilis,Taunsvill,Townsville,ta'unsavhila,tang shi wei lu,tang si wei er,taunjeubil,taunzubiru,tawnsfyl,tawnzwyl,????????,?????????,?????????,?????????,????????,????????,?????????,???????????,?????????,??????,????,????,????",-19.26639,146.8057,P,PPL,AU,,4,37010,,,196219,,15,Australia/Brisbane,25/06/2013
2146268,Toowoomba,Toowoomba,"TWB,Toowoomba,Tuvumba,teoumba,to~unba,tu wen ba,tuvumpa,???????,??????,????????,???????,?????,???,???",-27.56056,151.95386,P,PPL,AU,,4,36910,,,131258,,599,Australia/Brisbane,25/06/2013
2147381,Taree,Taree,"TRO,Taree,Tari,????,????",-31.91099,152.45387,P,PPL,AU,,2,13350,,,16621,,30,Australia/Sydney,25/06/2013
2147497,Tamworth,Tamworth,"TMW,Tamuort,Tamworth,???????",-31.09048,150.92905,P,PPL,AU,,2,17310,,,47597,,384,Australia/Sydney,25/06/2013
2147714,Sydney,Sydney,"Gorad Sidnej,SYD,Sanctus Dionysius,Sedniejos,Sidnei,Sidnej,Sidneja,Sidnejo,Sidnejus,Sidney,Sidneý,Sidni,Sidnéy,Sidn?jus,Sit-ni,Sit-nì,Syd,Sydneium,Sydney,Sydney City,Sídney,Sîdney,S?dniejos,citni,shidoni,sidani,sideuni,sidnei,sidni,sidniy,sydny,xi ni,xue li,??????,????? ??????,??????,??????,??????,?????,??????,?????,??????,?????,?????,?????,????,?????,?????,?????,??????,??????,?????,?????,?????,??????,??????,??????,??????,???????,???????,???????????,??????,???,????????,????,??,??,???",-33.86785,151.20732,P,PPLA,AU,,2,17200,,,4627345,,58,Australia/Sydney,24/08/2013
2147849,Surfers Paradise,Surfers Paradise,"SFP,Sjorfers Paradajz,Surfers Paradise,srfrz paradayz  kwyynzlnd,srprz prdyyz,??????? ????????,??????? ????????,????? ??????,????? ????????? ?????????",-28.00274,153.42999,P,PPL,AU,,4,33430,,,18501,,13,Australia/Brisbane,4/06/2011
2147892,Sunnybank,Sunnybank,Sunnybank,-27.58333,153.05,P,PPL,AU,,4,31000,,,16442,,44,Australia/Brisbane,25/06/2013
2147914,Sunbury,Sunbury,"Sanberi,Sunbury,sunburi,???????,???????",-37.57742,144.72607,P,PPL,AU,,7,23270,,,29925,,220,Australia/Melbourne,29/07/2013
2148398,Port Stephens,Port Stephens,,-32.71314,152.06623,P,PPL,AU,AU,2,16400,,,27531,,16,Australia/Sydney,25/06/2013
2148928,Southport,Southport,"SHQ,Southport,nan gang,??",-27.96724,153.39796,P,PPL,AU,,4,33430,,,28315,,7,Australia/Brisbane,9/11/2013
2148997,South Grafton,South Grafton,,-29.7076,152.92627,P,PPL,AU,,2,11730,,,16399,,2,Australia/Sydney,8/04/2014
2149645,Shepparton,Shepparton,"Mooroopna,SHT,Sheparton,Shepparton,????????,?????????,???????,?????????",-36.38047,145.39867,P,PPL,AU,,7,22830,,,38773,,115,Australia/Melbourne,31/07/2013
2150660,Saint Kilda,Saint Kilda,"Saint Kilda,St Kilda",-37.8676,144.98099,P,PPL,AU,,7,25900,,,17795,,11,Australia/Melbourne,25/06/2013
2151437,Rockhampton,Rockhampton,"ROK,Rockhampton,Rokgempton,Rokkhempton,luo kan pu dun,rakhmptwn,??????????,??????????,?????????,??????????,???????????,????",-23.38032,150.50595,P,PPL,AU,,4,36360,,,61724,,13,Australia/Brisbane,25/06/2013
2151649,Richmond,Richmond,Richmond,-37.81819,145.00176,P,PPL,AU,,7,27350,,,26121,,20,Australia/Melbourne,25/06/2013
2152286,Queanbeyan,Queanbeyan,"Kuinbejan,Kuinbian,Kvinbijan,Queanbeyan,kun bi en,kwynbyan,?????????,????????,????????,????????,???????,???",-35.35493,149.232,P,PPL,AU,,2,16470,,,40661,,581,Australia/Sydney,25/06/2013
2152329,Quakers Hill,Quakers Hill,,-33.73333,150.88333,P,PPL,AU,,2,10750,,,25017,,39,Australia/Sydney,4/06/2011
2152659,Port Macquarie,Port Macquarie,"PQQ,Port Macquarie,Port Makkuori,Port Makvori,mai jue li gang,???? ???????,???? ????????,????-???????,????",-31.43084,152.90894,P,PPL,AU,,2,16380,,,41491,,10,Australia/Sydney,25/06/2013
2154219,Orange,Orange,"OAG,Orandzh,Orange,??????",-33.28397,149.10018,P,PPL,AU,,2,16150,,,39329,,868,Australia/Sydney,25/06/2013
2154787,Nowra,Nowra,"NOA,Novra,Nowra,Nowra-Bomaderry,novra,nuo la,nwwra,?????,?????,?????,??",-34.88422,150.60036,P,PPL,AU,,2,16950,,,34479,,30,Australia/Sydney,25/06/2013
